index,origin_id,origin_date,split,item_id,inflation_pressure_score,inflation_pressure_evidence,inflation_pressure_zero_reason,inflation_pressure_note,demand_pressure_score,demand_pressure_evidence,demand_pressure_zero_reason,demand_pressure_note,forward_policy_bias_score,forward_policy_bias_evidence,forward_policy_bias_zero_reason,forward_policy_bias_note
0,decision_close_2015_1,2015-01-20,train,T-90085e34e963,-1,"Para politikasındaki sıkı duruş ve alınan makroihtiyati önlemler enflasyonu, özellikle enerji ve gıda dışı (çekirdek) enflasyon göstergelerini ve enflasyon beklentilerini olumlu yönde etkilemektedir. Ayrıca, başta petrol olmak üzere düşen emtia fiyatları enflasyondaki düşüş sürecini desteklemektedir.",,,0,Dış talep zayıf seyrini korurken iç talep büyümeye ılımlı düzeyde katkı vermektedir.,mixed_balanced,,0,"Enflasyon beklentileri, fiyatlama davranışları ve enflasyonu etkileyen diğer unsurlar yakından izlenecek ve enflasyon görünümünde belirgin bir iyileşme sağlanana kadar getiri eğrisini yataya yakın tutmak suretiyle para politikasındaki sıkı duruş sürdürülecektir.",maintain_only,
1,decision_close_2015_2,2015-02-24,train,T-0be1b1234c09,-1,"Uygulanan temkinli para ve maliye politikaları ile alınan makroihtiyati önlemler enflasyonu, özellikle enerji ve gıda dışı (çekirdek) enflasyon göstergelerini ve enflasyon beklentilerini olumlu yönde etkilemektedir. Kurul, çekirdek enflasyondaki düşüşün devam edeceğini öngörmektedir.",,,0,Dış talep zayıf seyrini korurken iç talep büyümeye ılımlı düzeyde katkı vermektedir,mixed_balanced,,0,Önümüzdeki dönemde para politikası kararları enflasyon görünümündeki iyileşmenin hızına bağlı olacaktır.,maintain_only,
2,decision_close_2015_3,2015-03-17,train,T-be4c13d6c53b,0,"Uygulanan temkinli para ve maliye politikaları ile alınan makroihtiyati önlemler enflasyonu, özellikle enerji ve gıda dışı (çekirdek) enflasyon göstergelerini olumlu yönde etkilemektedir. Öte yandan küresel piyasalardaki belirsizlikler ve gıda fiyatlarındaki artışlar para politikasındaki temkinli yaklaşımın sürdürülmesini gerektirmektedir.",mixed_balanced,,0,Sıkı para politikası duruşunun ve alınan makroihtiyati önlemlerin etkisiyle kredi büyüme hızları makul düzeylerde seyretmektedir.,mixed_balanced,,0,"Enflasyon beklentileri, fiyatlama davranışları ve enflasyonu etkileyen diğer unsurlar yakından izlenecek ve enflasyon görünümünde belirgin bir iyileşme sağlanana kadar getiri eğrisini yataya yakın tutmak suretiyle para politikasındaki temkinli duruş sürdürülecektir.",maintain_only,
3,decision_close_2015_4,2015-04-22,train,T-3952f62c8ea0,0,"Uygulanan temkinli para ve maliye politikaları ile alınan makroihtiyati önlemler enflasyonu, özellikle enerji ve gıda dışı (çekirdek) enflasyon göstergelerini olumlu yönde etkilemektedir. Öte yandan küresel piyasalardaki belirsizlikler ve gıda fiyatlarındaki artışlar para politikasındaki temkinli yaklaşımın sürdürülmesini gerektirmektedir.",mixed_balanced,,0,Dış talep zayıf seyrini korurken iç talep büyümeye ılımlı düzeyde katkı vermektedir.,mixed_balanced,,0,"Enflasyon beklentileri, fiyatlama davranışları ve enflasyonu etkileyen diğer unsurlar yakından izlenecek ve enflasyon görünümünde belirgin bir iyileşme sağlanana kadar getiri eğrisini yataya yakın tutmak suretiyle para politikasındaki temkinli duruş sürdürülecektir.",mixed_balanced,
4,decision_close_2015_5,2015-05-20,train,T-5b6c2cc98ae3,0,"Uygulanan temkinli para ve maliye politikaları ile alınan makroihtiyati önlemler enflasyonu, özellikle enerji ve gıda dışı (çekirdek) enflasyon göstergelerini olumlu yönde etkilemeye devam etmektedir. Ancak döviz kurlarında son dönemde yaşanan oynaklıklar, Enflasyon Raporunda belirtildiği gibi, çekirdek enflasyondaki iyileşmeyi sınırlandırmıştır.",mixed_balanced,,0,Dış talep zayıf seyrini korurken iç talep büyümeye ılımlı düzeyde katkı vermektedir.,mixed_balanced,,0,"Enflasyon beklentileri, fiyatlama davranışları ve enflasyonu etkileyen diğer unsurlar yakından izlenecek ve enflasyon görünümünde belirgin bir iyileşme sağlanana kadar getiri eğrisini yataya yakın tutmak suretiyle para politikasındaki temkinli duruş sürdürülecektir.",maintain_only,
5,decision_close_2015_6,2015-06-23,train,T-441b8e7506fd,0,"Gıda fiyatlarında beklenen kısmi düzeltmenin katkısıyla kısa vadede enflasyonun düşeceği öngörülmektedir. Bununla birlikte, son dönemde yaşanan döviz kuru hareketleri çekirdek enflasyon eğilimindeki iyileşmeyi geciktirmiştir.",mixed_balanced,,0,Dış talep zayıf seyrini korurken iç talep büyümeye ılımlı düzeyde katkı vermektedir.,mixed_balanced,,0,"Enflasyon beklentileri, fiyatlama davranışları ve enflasyonu etkileyen diğer unsurlar yakından izlenecek ve enflasyon görünümünde belirgin bir iyileşme sağlanana kadar getiri eğrisini yataya yakın tutmak suretiyle para politikasındaki temkinli duruş sürdürülecektir.",maintain_only,
6,decision_close_2015_7,2015-07-23,train,T-94e0a602da55,0,"Gıda ve enerji fiyatlarındaki gelişmeler kısa vadede enflasyonu olumlu etkilemektedir. Bununla birlikte, döviz kuru hareketleri çekirdek enflasyon eğilimindeki iyileşmeyi geciktirmektedir.",mixed_balanced,,0,Dış talep zayıf seyrini korurken iç talep büyümeye ılımlı düzeyde katkı vermektedir.,mixed_balanced,,0,"Enflasyon beklentileri, fiyatlama davranışları ve enflasyonu etkileyen diğer unsurlar yakından izlenecek ve enflasyon görünümünde belirgin bir iyileşme sağlanana kadar getiri eğrisini yataya yakın tutmak suretiyle para politikasındaki temkinli duruş sürdürülecektir.",maintain_only,
7,decision_close_2015_8,2015-08-18,train,T-233a127d3a94,0,"İşlenmiş gıda ve enerji fiyatlarındaki gelişmeler kısa vadede enflasyonu olumlu etkilemektedir. Bununla birlikte, döviz kuru hareketleri çekirdek enflasyon eğilimindeki iyileşmeyi geciktirmektedir.",mixed_balanced,,0,Dış talep zayıf seyrini korurken iç talep büyümeye ılımlı düzeyde katkı vermektedir.,mixed_balanced,,0,"Önümüzdeki dönemde para politikası kararları enflasyon görünümündeki iyileşmenin hızına bağlı olacaktır. Enflasyon beklentileri, fiyatlama davranışları ve enflasyonu etkileyen diğer unsurlar yakından izlenecek ve enflasyon görünümünde belirgin bir iyileşme sağlanana kadar getiri eğrisini yataya yakın tutmak suretiyle para politikasındaki temkinli duruş sürdürülecektir.",maintain_only,
8,decision_close_2015_9,2015-09-22,train,T-164f2f8df8b2,0,"Enerji fiyatlarındaki gelişmeler enflasyonu olumlu yönde etkilemeye devam etmektedir. Bununla birlikte, döviz kuru hareketleri çekirdek enflasyon eğilimindeki iyileşmeyi geciktirmektedir.",mixed_balanced,,0,Yılın ilk yarısında dış talep zayıf seyrini korurken iç talep büyümeye ılımlı düzeyde katkı vermiştir.,mixed_balanced,,0,"Enflasyon beklentileri, fiyatlama davranışları ve enflasyonu etkileyen diğer unsurlar yakından izlenecek ve enflasyon görünümünde belirgin bir iyileşme sağlanana kadar getiri eğrisini yataya yakın tutmak suretiyle para politikasındaki temkinli duruş sürdürülecektir.",maintain_only,
9,decision_close_2015_10,2015-10-21,train,T-14cf8ada2f4e,0,"Enerji fiyatlarındaki gelişmeler enflasyonu olumlu yönde etkilemeye devam etmektedir. Bununla birlikte, döviz kuru hareketleri çekirdek enflasyon eğilimindeki iyileşmeyi geciktirmektedir.",mixed_balanced,,0,Yılın ilk yarısında dış talep zayıf seyrini korurken iç talep büyümeye ılımlı düzeyde katkı vermiştir,mixed_balanced,,0,"Enflasyon beklentileri, fiyatlama davranışları ve enflasyonu etkileyen diğer unsurlardaki gelişmeler dikkate alınarak para politikasındaki sıkı duruş sürdürülecektir.",maintain_only,
