fold,origin_id,origin_date,arm,inner_n,direction_candidate,magnitude_candidate,probability_candidate
1,decision_close_2023_1,2023-01-19,history,45,history|lambda=0.001|scaling=fixed,history|lambda=1|scaling=fixed,history|lambda=0.1|scaling=fixed
1,decision_close_2023_1,2023-01-19,history_tfidf,45,history_tfidf|lambda=1|scaling=column_standardized,history_tfidf|lambda=1|scaling=column_standardized,history_tfidf|lambda=1|scaling=column_standardized
1,decision_close_2023_1,2023-01-19,history_lsa,45,history_lsa|lambda=0.001|scaling=column_standardized,history_lsa|lambda=1|scaling=row_only,history_lsa|lambda=0.1|scaling=column_standardized
1,decision_close_2023_1,2023-01-19,history_qwen_all,45,history_qwen_all|lambda=0.001|scaling=fixed,history_qwen_all|lambda=1|scaling=fixed,history_qwen_all|lambda=0.1|scaling=fixed
1,decision_close_2023_1,2023-01-19,history_qwen_inflation,45,history_qwen_inflation|lambda=0.01|scaling=fixed,history_qwen_inflation|lambda=1|scaling=fixed,history_qwen_inflation|lambda=0.1|scaling=fixed
1,decision_close_2023_1,2023-01-19,history_qwen_demand,45,history_qwen_demand|lambda=0.01|scaling=fixed,history_qwen_demand|lambda=1|scaling=fixed,history_qwen_demand|lambda=0.1|scaling=fixed
1,decision_close_2023_1,2023-01-19,history_qwen_forward,45,history_qwen_forward|lambda=0.001|scaling=fixed,history_qwen_forward|lambda=1|scaling=fixed,history_qwen_forward|lambda=0.1|scaling=fixed
1,decision_close_2023_1,2023-01-19,history_qwen_scores_only,45,history_qwen_scores_only|lambda=0.001|scaling=fixed,history_qwen_scores_only|lambda=1|scaling=fixed,history_qwen_scores_only|lambda=0.1|scaling=fixed
1,decision_close_2023_1,2023-01-19,history_qwen_missing_only,45,history_qwen_missing_only|lambda=0.001|scaling=fixed,history_qwen_missing_only|lambda=1|scaling=fixed,history_qwen_missing_only|lambda=0.1|scaling=fixed
1,decision_close_2023_1,2023-01-19,proxy_market,45,proxy_market|lambda=0.01|scaling=fixed,proxy_market|lambda=10|scaling=fixed,proxy_market|lambda=0.1|scaling=fixed
1,decision_close_2023_1,2023-01-19,proxy_market_lsa,45,proxy_market_lsa|lambda=0.01|scaling=column_standardized,proxy_market_lsa|lambda=10|scaling=column_standardized,proxy_market_lsa|lambda=0.1|scaling=column_standardized
1,decision_close_2023_1,2023-01-19,history_transformer,45,history_transformer|lambda=0.001|scaling=fixed,history_transformer|lambda=0.1|scaling=fixed,history_transformer|lambda=1|scaling=fixed
2,decision_close_2023_2,2023-02-23,history,46,history|lambda=0.001|scaling=fixed,history|lambda=1|scaling=fixed,history|lambda=0.1|scaling=fixed
2,decision_close_2023_2,2023-02-23,history_tfidf,46,history_tfidf|lambda=1|scaling=column_standardized,history_tfidf|lambda=1|scaling=column_standardized,history_tfidf|lambda=1|scaling=column_standardized
