fold,origin_id,candidate_id,arm,lambda,scaling,macro_f1,brier,log_loss,mae_bp,inner_n
1,decision_close_2023_1,history|lambda=0.001|scaling=fixed,history,0.001,fixed,0.4812925170068027,0.5954523486300842,1.5099619135899625,121.12968453177058,45
1,decision_close_2023_1,history|lambda=0.01|scaling=fixed,history,0.01,fixed,0.4567901234567901,0.5456919866468207,1.0439815771886232,106.18536626133957,45
1,decision_close_2023_1,history|lambda=0.1|scaling=fixed,history,0.1,fixed,0.4004371584699453,0.530996032118604,0.9329915462801808,89.97186983629076,45
1,decision_close_2023_1,history|lambda=1|scaling=fixed,history,1.0,fixed,0.2318840579710145,0.6294327879767266,1.0425322000659385,81.22120944622455,45
1,decision_close_2023_1,history|lambda=10|scaling=fixed,history,10.0,fixed,0.2318840579710145,0.6887369582027918,1.1518954446374445,82.86098507070528,45
1,decision_close_2023_1,history_tfidf|lambda=0.001|scaling=row_only,history_tfidf,0.001,row_only,0.4987373737373737,0.5453928201219485,1.4727212767436293,105.79112333398419,45
1,decision_close_2023_1,history_tfidf|lambda=0.01|scaling=row_only,history_tfidf,0.01,row_only,0.4612159329140461,0.5215380383009268,1.0069154347577278,98.39593071305565,45
1,decision_close_2023_1,history_tfidf|lambda=0.1|scaling=row_only,history_tfidf,0.1,row_only,0.4004371584699453,0.5211915943842836,0.9137652133458138,88.93494945551015,45
1,decision_close_2023_1,history_tfidf|lambda=1|scaling=row_only,history_tfidf,1.0,row_only,0.2318840579710145,0.62448835604763,1.0347551611139703,81.38793574786537,45
1,decision_close_2023_1,history_tfidf|lambda=10|scaling=row_only,history_tfidf,10.0,row_only,0.2318840579710145,0.6880360483587217,1.1505035434403763,82.84172780660073,45
1,decision_close_2023_1,history_tfidf|lambda=0.001|scaling=column_standardized,history_tfidf,0.001,column_standardized,0.5026262626262626,0.5674252753284181,1.9410171017764333,78.4528563615823,45
1,decision_close_2023_1,history_tfidf|lambda=0.01|scaling=column_standardized,history_tfidf,0.01,column_standardized,0.5026262626262626,0.5443033235341198,1.561483323532067,78.44516635765129,45
1,decision_close_2023_1,history_tfidf|lambda=0.1|scaling=column_standardized,history_tfidf,0.1,column_standardized,0.5109922756981581,0.5120976168399639,1.2143808223679804,78.40009566807332,45
