arm,selection,n,correct,macro_f1,mae_bp,brier_multiclass,log_loss
history,inner_brier,37,22,0.578961314255432,139.77672330088092,0.5409128702485185,0.9186036342135645
history_tfidf,inner_brier,37,21,0.5324605451936874,125.18982816532784,0.6040667052273221,1.0350078895725088
history_lsa,inner_brier,37,22,0.5743450767841012,140.36580262022113,0.53080901199282,0.8522353761270183
history_qwen_all,inner_brier,37,23,0.5771973124914301,139.62853277237477,0.551049067710172,0.904715862204867
history_qwen_inflation,inner_brier,37,21,0.5493547846489023,141.73504321536635,0.5661454283151361,0.942190189612377
history_qwen_demand,inner_brier,37,23,0.596078431372549,143.44660744628314,0.5277584537683037,0.8527724598263222
history_qwen_forward,inner_brier,37,24,0.6268518518518519,141.4570398864771,0.540502944428774,0.9067950782387307
history_qwen_scores_only,inner_brier,37,24,0.6191127613836233,139.14077536756136,0.5371496671748623,0.8885915294060961
history_qwen_missing_only,inner_brier,37,22,0.569607843137255,140.01426388016114,0.5522117572397294,0.9448079711973497
proxy_market,inner_brier,37,24,0.6410818713450291,153.75740460011016,0.5251882935878063,0.8545780954529949
proxy_market_lsa,inner_brier,37,24,0.6333333333333333,153.39964211401139,0.5049695250866957,0.834915070646533
history_transformer,inner_brier,37,24,0.6345029239766081,164.4736892563258,0.5730840214125392,1.0532006055448597
