arm,n,correct,macro_f1,mae_bp,brier_multiclass
history,37,24,0.6412698412698412,139.77672330088092,0.48857561863615456
history_tfidf,37,22,0.5842131724484666,125.1878813396575,0.5818139511215696
history_lsa,37,26,0.6900584795321637,140.36580262022113,0.49207361141713285
history_qwen_all,37,23,0.6138770349296664,139.62853277237477,0.5530652427597331
history_qwen_inflation,37,25,0.6741854636591479,141.28017776579216,0.5076260305211513
history_qwen_demand,37,24,0.6412698412698412,143.4466074462831,0.4868098682589669
history_qwen_forward,37,24,0.6303126656067833,141.4570398864771,0.5430086872713761
history_qwen_scores_only,37,23,0.6138770349296664,139.14077536756136,0.5333368231637153
history_qwen_missing_only,37,24,0.6412698412698412,140.01426388016114,0.4978684855225696
proxy_market,37,25,0.6697368421052632,146.77433337689976,0.49779868809934164
proxy_market_lsa,37,29,0.7802676626206039,146.89128074945282,0.41808816069429283
history_transformer,37,22,0.5757422402159245,163.24447839513155,0.7079820585548987
