arm,objective,lambda,scaling,selected_origins,total_origins,share
history,direction_macro_f1,0.001,fixed,37,37,1.0
history,magnitude_mae,1.0,fixed,37,37,1.0
history,probability_brier,0.01,fixed,24,37,0.6486486486486487
history,probability_brier,0.1,fixed,13,37,0.35135135135135137
history_lsa,direction_macro_f1,0.001,column_standardized,8,37,0.21621621621621623
history_lsa,direction_macro_f1,0.01,row_only,29,37,0.7837837837837838
history_lsa,magnitude_mae,1.0,row_only,37,37,1.0
history_lsa,probability_brier,0.1,column_standardized,31,37,0.8378378378378378
history_lsa,probability_brier,0.1,row_only,6,37,0.16216216216216217
history_qwen_all,direction_macro_f1,0.001,fixed,9,37,0.24324324324324326
history_qwen_all,direction_macro_f1,0.01,fixed,22,37,0.5945945945945946
history_qwen_all,direction_macro_f1,0.1,fixed,6,37,0.16216216216216217
history_qwen_all,magnitude_mae,1.0,fixed,37,37,1.0
history_qwen_all,probability_brier,0.1,fixed,37,37,1.0
history_qwen_demand,direction_macro_f1,0.001,fixed,31,37,0.8378378378378378
history_qwen_demand,direction_macro_f1,0.01,fixed,6,37,0.16216216216216217
history_qwen_demand,magnitude_mae,0.1,fixed,4,37,0.10810810810810811
history_qwen_demand,magnitude_mae,1.0,fixed,33,37,0.8918918918918919
history_qwen_demand,probability_brier,0.1,fixed,37,37,1.0
history_qwen_forward,direction_macro_f1,0.001,fixed,11,37,0.2972972972972973
history_qwen_forward,direction_macro_f1,0.01,fixed,26,37,0.7027027027027027
history_qwen_forward,magnitude_mae,1.0,fixed,37,37,1.0
history_qwen_forward,probability_brier,0.1,fixed,37,37,1.0
history_qwen_inflation,direction_macro_f1,0.01,fixed,37,37,1.0
history_qwen_inflation,magnitude_mae,1.0,fixed,33,37,0.8918918918918919
history_qwen_inflation,magnitude_mae,10.0,fixed,4,37,0.10810810810810811
history_qwen_inflation,probability_brier,0.01,fixed,22,37,0.5945945945945946
history_qwen_inflation,probability_brier,0.1,fixed,15,37,0.40540540540540543
history_qwen_missing_only,direction_macro_f1,0.001,fixed,37,37,1.0
history_qwen_missing_only,magnitude_mae,1.0,fixed,37,37,1.0
history_qwen_missing_only,probability_brier,0.01,fixed,16,37,0.43243243243243246
history_qwen_missing_only,probability_brier,0.1,fixed,21,37,0.5675675675675675
history_qwen_scores_only,direction_macro_f1,0.001,fixed,37,37,1.0
history_qwen_scores_only,magnitude_mae,1.0,fixed,37,37,1.0
history_qwen_scores_only,probability_brier,0.1,fixed,37,37,1.0
history_tfidf,direction_macro_f1,0.001,row_only,11,37,0.2972972972972973
history_tfidf,direction_macro_f1,1.0,column_standardized,26,37,0.7027027027027027
history_tfidf,magnitude_mae,0.001,column_standardized,19,37,0.5135135135135135
history_tfidf,magnitude_mae,1.0,column_standardized,18,37,0.4864864864864865
history_tfidf,probability_brier,0.01,row_only,10,37,0.2702702702702703
history_tfidf,probability_brier,1.0,column_standardized,12,37,0.32432432432432434
history_tfidf,probability_brier,10.0,column_standardized,15,37,0.40540540540540543
history_transformer,direction_macro_f1,0.001,fixed,30,37,0.8108108108108109
history_transformer,direction_macro_f1,0.01,fixed,2,37,0.05405405405405406
history_transformer,direction_macro_f1,1.0,fixed,5,37,0.13513513513513514
history_transformer,magnitude_mae,0.001,fixed,6,37,0.16216216216216217
history_transformer,magnitude_mae,0.01,fixed,2,37,0.05405405405405406
history_transformer,magnitude_mae,0.1,fixed,29,37,0.7837837837837838
history_transformer,probability_brier,1.0,fixed,37,37,1.0
proxy_market,direction_macro_f1,0.01,fixed,9,37,0.24324324324324326
proxy_market,direction_macro_f1,0.1,fixed,28,37,0.7567567567567568
proxy_market,magnitude_mae,1.0,fixed,30,37,0.8108108108108109
proxy_market,magnitude_mae,10.0,fixed,7,37,0.1891891891891892
proxy_market,probability_brier,0.1,fixed,37,37,1.0
proxy_market_lsa,direction_macro_f1,0.01,column_standardized,37,37,1.0
proxy_market_lsa,magnitude_mae,0.1,column_standardized,15,37,0.40540540540540543
proxy_market_lsa,magnitude_mae,1.0,column_standardized,2,37,0.05405405405405406
proxy_market_lsa,magnitude_mae,1.0,row_only,13,37,0.35135135135135137
proxy_market_lsa,magnitude_mae,10.0,column_standardized,7,37,0.1891891891891892
proxy_market_lsa,probability_brier,0.1,column_standardized,37,37,1.0
