index,origin_id,origin_date,split,decision_document_id,decision_url,decision_text_sha256
0,decision_close_2015_1,2015-01-20,train,PPK_2015_1_karar,https://www.tcmb.gov.tr/wps/wcm/connect/tr/tcmb+tr/main+menu/duyurular/basin/2015/duy2015-02,d9513cd7dac7df3b200298b6b65ba82c293914ebbc51cbfde4657cbbf2560144
1,decision_close_2015_2,2015-02-24,train,PPK_2015_2_karar,https://www.tcmb.gov.tr/wps/wcm/connect/tr/tcmb+tr/main+menu/duyurular/basin/2015/duy2015-13,7b57b2cffa30336d2bba828a81ae4eaad759d4dc5d1be40e07639c929b32ab2e
2,decision_close_2015_3,2015-03-17,train,PPK_2015_3_karar,https://www.tcmb.gov.tr/wps/wcm/connect/tr/tcmb+tr/main+menu/duyurular/basin/2015/duy2015-21,619d708da0f8e8f6c5385dd07233040aae8b6c257fdc42fe33f02875d2f9c661
3,decision_close_2015_4,2015-04-22,train,PPK_2015_4_karar,https://www.tcmb.gov.tr/wps/wcm/connect/tr/tcmb+tr/main+menu/duyurular/basin/2015/duy2015-30,f51d8fc41195f839943088d0b260dca7727860fc4dcd98e7d5c8a6eb8cf091b5
4,decision_close_2015_5,2015-05-20,train,PPK_2015_5_karar,https://www.tcmb.gov.tr/wps/wcm/connect/tr/tcmb+tr/main+menu/duyurular/basin/2015/duy2015-38,9f96d57f9dddd51e24f96165c0d897cd8dffe918807fb58ae5eef471064b3d1f
5,decision_close_2015_6,2015-06-23,train,PPK_2015_6_karar,https://www.tcmb.gov.tr/wps/wcm/connect/tr/tcmb+tr/main+menu/duyurular/basin/2015/duy2015-43,7ba86711a6719e5a9d0bdf896251ad73151806074cac3682cad36e481142ba71
6,decision_close_2015_7,2015-07-23,train,PPK_2015_7_karar,https://www.tcmb.gov.tr/wps/wcm/connect/tr/tcmb+tr/main+menu/duyurular/basin/2015/duy2015-46,71542c54adb1197c020cd81d12b4c89c64c87c417489647c6252e9bb724ba7c4
7,decision_close_2015_8,2015-08-18,train,PPK_2015_8_karar,https://www.tcmb.gov.tr/wps/wcm/connect/tr/tcmb+tr/main+menu/duyurular/basin/2015/duy2015-50,4e7b5bb33bae4e6f6266a57cff690a7af59f0082b0a4a8d83e187aed3dd193c0
8,decision_close_2015_9,2015-09-22,train,PPK_2015_9_karar,https://www.tcmb.gov.tr/wps/wcm/connect/tr/tcmb+tr/main+menu/duyurular/basin/2015/duy2015-57,b8259840b085525b1511013ee38dc1af6c9cfd5ade0342b34a2dff941b922c34
9,decision_close_2015_10,2015-10-21,train,PPK_2015_10_karar,https://www.tcmb.gov.tr/wps/wcm/connect/tr/tcmb+tr/main+menu/duyurular/basin/2015/duy2015-63,b4fc3b22da2326dfc15525bdb2f140a782d4ad2f2a86f09e43de0993ff000748
10,decision_close_2015_11,2015-11-24,train,PPK_2015_11_karar,https://www.tcmb.gov.tr/wps/wcm/connect/tr/tcmb+tr/main+menu/duyurular/basin/2015/duy2015-69,097e20f341c45b3592fc31074f1c813bd7e675effd60391dfdbf3b44fcf0a3bc
11,decision_close_2015_12,2015-12-22,train,PPK_2015_12_karar,https://www.tcmb.gov.tr/wps/wcm/connect/tr/tcmb+tr/main+menu/duyurular/basin/2015/duy2015-73,40745caa4e2b8dbb5e470a93fca60f2b6d7e873f14336bd9491af8251257149b
12,decision_close_2016_1,2016-01-19,train,PPK_2016_1_karar,https://www.tcmb.gov.tr/wps/wcm/connect/tr/tcmb+tr/main+menu/duyurular/basin/2016/duy2016-04,a839fbc878d9a957aad5be9505bc60f88312bc18185113984db9a6358d9d809b
13,decision_close_2016_2,2016-02-23,train,PPK_2016_2_karar,https://www.tcmb.gov.tr/wps/wcm/connect/tr/tcmb+tr/main+menu/duyurular/basin/2016/duy2016-09,8ccb898460166daa269516f05d6c243e8d5f4afce6ebfd76df101effb88f2809
14,decision_close_2016_3,2016-03-24,train,PPK_2016_3_karar,https://www.tcmb.gov.tr/wps/wcm/connect/tr/tcmb+tr/main+menu/duyurular/basin/2016/duy2016-13,a04bb70cbef76a8496b3050f5d8c20562b38b3913b8ba97d43be585035781d8e
15,decision_close_2016_4,2016-04-20,train,PPK_2016_4_karar,https://www.tcmb.gov.tr/wps/wcm/connect/tr/tcmb+tr/main+menu/duyurular/basin/2016/duy2016-19,bbf2ea5e8305f8fc8d04f3997267d5a359a61903f248616dd5a593656d4bfded
16,decision_close_2016_5,2016-05-24,train,PPK_2016_5_karar,https://www.tcmb.gov.tr/wps/wcm/connect/tr/tcmb+tr/main+menu/duyurular/basin/2016/duy2016-24,19753769a5448bd4c0116652d4c723d1625bc9c3e3d87c0f8eaba11ea0296ebe
17,decision_close_2016_6,2016-06-21,train,PPK_2016_6_karar,https://www.tcmb.gov.tr/wps/wcm/connect/tr/tcmb+tr/main+menu/duyurular/basin/2016/duy2016-28,3ee98e6714d6bd9e2c560ddb708e9dfe105d89b40c9244164afea79877eaecfc
18,decision_close_2016_7,2016-07-19,train,PPK_2016_7_karar,https://www.tcmb.gov.tr/wps/wcm/connect/tr/tcmb+tr/main+menu/duyurular/basin/2016/duy2016-33,31c3d116dc6326b8c0d9f8361119c70f6c443326c1235fae1f4826a8dbe83538
19,decision_close_2016_8,2016-08-23,train,PPK_2016_8_karar,https://www.tcmb.gov.tr/wps/wcm/connect/tr/tcmb+tr/main+menu/duyurular/basin/2016/duy2016-41,ee12e9326ce4c52614384bab4b87d7a101c505767637dd729560c07bd45d5f57
20,decision_close_2016_9,2016-09-22,train,PPK_2016_9_karar,https://www.tcmb.gov.tr/wps/wcm/connect/tr/tcmb+tr/main+menu/duyurular/basin/2016/duy2016-45,be2bfb25e0c9213450f92c39a6c712f648e55c79c53e145dc796d84f238c984c
21,decision_close_2016_10,2016-10-20,train,PPK_2016_10_karar,https://www.tcmb.gov.tr/wps/wcm/connect/tr/tcmb+tr/main+menu/duyurular/basin/2016/duy2016-49,1fdf47856dd2d85411c789a4ed5c7caa04d88b3af5a325cd9198dfd0f821e2e7
22,decision_close_2016_11,2016-11-24,train,PPK_2016_11_karar,https://www.tcmb.gov.tr/wps/wcm/connect/tr/tcmb+tr/main+menu/duyurular/basin/2016/duy2016-59,f9e5bbc5cc8f0b1f3f5f96e16cd29f01a11f410ad6661615f872aa406db19c31
23,decision_close_2016_12,2016-12-20,train,PPK_2016_12_karar,https://www.tcmb.gov.tr/wps/wcm/connect/tr/tcmb+tr/main+menu/duyurular/basin/2016/duy2016-66,656665fb63532279c9477050889f44c0fd450111ee9ec3329e271c17e5dc13f4
24,decision_close_2017_1,2017-01-24,train,PPK_2017_1_karar,https://www.tcmb.gov.tr/wps/wcm/connect/tr/tcmb+tr/main+menu/duyurular/basin/2017/duy2017-04,ddb4f89694535d14cc4643bce738e5d620723733058cac74ad7aac47d4e92853
25,decision_close_2017_2,2017-03-16,train,PPK_2017_2_karar,https://www.tcmb.gov.tr/wps/wcm/connect/tr/tcmb+tr/main+menu/duyurular/basin/2017/duy2017-16,aa8d67b32ed2331c6e85fcedbc4718f58068186e69d735784732c1e73f3fbca4
26,decision_close_2017_3,2017-04-26,train,PPK_2017_3_karar,https://www.tcmb.gov.tr/wps/wcm/connect/tr/tcmb+tr/main+menu/duyurular/basin/2017/duy2017-21,183b57d7e60781891962d09b6b01b3a1b07f224cb93b9f25efe778d9d0a67b5c
27,decision_close_2017_4,2017-06-15,train,PPK_2017_4_karar,https://www.tcmb.gov.tr/wps/wcm/connect/tr/tcmb+tr/main+menu/duyurular/basin/2017/duy2017-26,6abb9f778ea89c87072b3e2510e7e1525dafc31361ae07db7011934d8d62e5a3
28,decision_close_2017_5,2017-07-27,train,PPK_2017_5_karar,https://www.tcmb.gov.tr/wps/wcm/connect/tr/tcmb+tr/main+menu/duyurular/basin/2017/duy2017-31,ff521987c85c8810838627629af96f2ef7e5ac015a64c3cecfc109045e685eea
29,decision_close_2017_6,2017-09-14,train,PPK_2017_6_karar,https://www.tcmb.gov.tr/wps/wcm/connect/tr/tcmb+tr/main+menu/duyurular/basin/2017/duy2017-36,503be69ef2f8a9829b4135d1cf56c709d06b6f6e001e0fbaa5344d865cda257e
